360	0.936	0.523	0.570	0.331	0.549
370	0.941	0.594	0.605	0.396	0.572
400	0.959	0.767	0.688	0.493	0.604
482	0.937	0.856	0.784	0.496	0.604
626	0.954	0.803	0.849	0.534	0.607
767	0.954	0.824	0.865	0.530	0.627
900	0.970	0.849	0.871	0.543	0.648
910	0.968	0.849	0.871	0.511	0.650
950	0.958	0.847	0.862	0.383	0.657
962	0.966	0.846	0.868	0.457	0.659
1235	0.966	0.812	0.809	0.478	0.689
1300	0.975	0.794	0.807	0.392	0.685
1500	0.974	0.743	0.774	0.459	0.663
1662	0.963	0.675	0.810	0.438	0.581
1800	0.963	0.584	0.690	0.239	0.518
