======================================================
The calculation Signal-to-Noise vs. Magnitude

Resolution Mode   = Low Resolution
PWV [mm]          = 1.0
Exposure Time [s] = 1200
Exposure Number   = 3
Magnitude Range [mag] : 18.00 - 26.00

Band	 Sky
[Blue]	 20.70
[Green]	 20.70
[Red]	 20.70
[NIR]	 20.70

========== Plot data ==========
Point Target Magnitude[ABmag]	SNR_Blue	SNR_Green	SNR_Red	SNR_NIR
18.000	529.332	508.139	479.311	373.774
18.100	503.593	483.426	455.994	355.504
18.200	478.946	459.762	433.666	338.008
18.300	455.341	437.098	412.283	321.250
18.400	432.733	415.391	391.801	305.198
18.500	411.076	394.597	372.181	289.819
18.600	390.328	374.676	353.384	275.086
18.700	370.450	355.590	335.376	260.970
18.800	351.404	337.304	318.121	247.444
18.900	333.155	319.782	301.589	234.485
19.000	315.671	302.994	285.749	222.068
19.100	298.918	286.910	270.572	210.173
19.200	282.870	271.501	256.033	198.779
19.300	267.497	256.741	242.107	187.866
19.400	252.776	242.606	228.770	177.417
19.500	238.681	229.073	216.002	167.416
19.600	225.190	216.121	203.781	157.847
19.700	212.284	203.730	192.090	148.696
19.800	199.943	191.881	180.911	139.949
19.900	188.148	180.557	170.228	131.594
20.000	176.882	169.742	160.025	123.619
20.100	166.131	159.420	150.288	116.013
20.200	155.879	149.578	141.003	108.765
20.300	146.111	140.201	132.158	101.865
20.400	136.815	131.277	123.740	95.303
20.500	127.976	122.792	115.737	89.070
20.600	119.582	114.735	108.138	83.157
20.700	111.620	107.093	100.931	77.555
20.800	104.079	99.854	94.104	72.253
20.900	96.944	93.006	87.646	67.243
21.000	90.204	86.537	81.547	62.515
21.100	83.845	80.435	75.793	58.061
21.200	77.856	74.687	70.373	53.870
21.300	72.222	69.281	65.276	49.932
21.400	66.930	64.203	60.490	46.238
21.500	61.968	59.441	56.001	42.778
21.600	57.320	54.982	51.798	39.542
21.700	52.975	50.812	47.868	36.519
21.800	48.917	46.919	44.199	33.699
21.900	45.133	43.288	40.777	31.073
22.000	41.609	39.908	37.591	28.629
22.100	38.332	36.764	34.629	26.359
22.200	35.288	33.844	31.877	24.253
22.300	32.464	31.135	29.325	22.301
22.400	29.847	28.625	26.960	20.493
22.500	27.425	26.301	24.771	18.822
22.600	25.185	24.153	22.747	17.277
22.700	23.117	22.169	20.878	15.852
22.800	21.207	20.337	19.153	14.537
22.900	19.447	18.649	17.563	13.326
23.000	17.825	17.093	16.097	12.210
23.100	16.332	15.661	14.748	11.184
23.200	14.958	14.344	13.508	10.241
23.300	13.695	13.133	12.367	9.374
23.400	12.535	12.020	11.319	8.578
23.500	11.470	10.999	10.357	7.847
23.600	10.492	10.061	9.474	7.177
23.700	9.596	9.201	8.664	6.562
23.800	8.774	8.413	7.922	5.999
23.900	8.020	7.691	7.242	5.483
24.000	7.330	7.029	6.619	5.011
24.100	6.698	6.423	6.048	4.578
24.200	6.120	5.868	5.526	4.182
24.300	5.591	5.361	5.048	3.820
24.400	5.106	4.896	4.610	3.489
24.500	4.663	4.472	4.210	3.186
24.600	4.258	4.083	3.845	2.909
24.700	3.888	3.728	3.510	2.656
24.800	3.550	3.404	3.205	2.424
24.900	3.241	3.107	2.926	2.213
25.000	2.958	2.836	2.671	2.020
25.100	2.700	2.589	2.438	1.844
25.200	2.464	2.363	2.225	1.683
25.300	2.249	2.156	2.030	1.535
25.400	2.052	1.968	1.853	1.401
25.500	1.873	1.796	1.691	1.279
25.600	1.709	1.638	1.543	1.167
25.700	1.559	1.495	1.408	1.064
25.800	1.423	1.364	1.284	0.971
25.900	1.298	1.244	1.172	0.886
26.000	1.184	1.135	1.069	0.808
26.100	1.080	1.036	0.975	0.737
