======================================================
The calculation Signal-to-Noise vs. Magnitude

Resolution Mode   = Low Resolution
Airmass           = 1.0
PWV [mm]          = 1.0
Exposure Time [s] = 1200
Exposure Number   = 1
Magnitude Range [mag] : 18.00 - 26.00

Band	 Sky
[Blue]	 20.70
[Green]	 20.70
[Red]	 20.70
[NIR]	 20.70

========== Plot data ==========
Point Target Magnitude[ABmag]	SNR_Blue	SNR_Green	SNR_Red	SNR_NIR
18.000	0.000	0.000	0.000	0.000
18.100	0.000	0.000	0.000	0.000
18.200	0.000	0.000	0.000	0.000
18.300	0.000	0.000	0.000	0.000
18.400	0.000	0.000	0.000	0.000
18.500	0.000	0.000	0.000	0.000
18.600	0.000	0.000	0.000	0.000
18.700	0.000	0.000	0.000	0.000
18.800	0.000	0.000	0.000	0.000
18.900	0.000	0.000	0.000	0.000
19.000	0.000	0.000	0.000	0.000
19.100	0.000	0.000	0.000	0.000
19.200	0.000	0.000	0.000	0.000
19.300	0.000	0.000	0.000	0.000
19.400	0.000	0.000	0.000	0.000
19.500	0.000	0.000	0.000	0.000
19.600	0.000	0.000	0.000	0.000
19.700	0.000	0.000	0.000	0.000
19.800	0.000	0.000	0.000	0.000
19.900	0.000	0.000	0.000	0.000
20.000	0.000	0.000	0.000	0.000
20.100	0.000	0.000	0.000	0.000
20.200	0.000	0.000	0.000	0.000
20.300	0.000	0.000	0.000	0.000
20.400	0.000	0.000	0.000	0.000
20.500	0.000	0.000	0.000	0.000
20.600	0.000	0.000	0.000	0.000
20.700	0.000	0.000	0.000	0.000
20.800	0.000	0.000	0.000	0.000
20.900	0.000	0.000	0.000	0.000
21.000	0.000	0.000	0.000	0.000
21.100	0.000	0.000	0.000	0.000
21.200	0.000	0.000	0.000	0.000
21.300	0.000	0.000	0.000	0.000
21.400	0.000	0.000	0.000	0.000
21.500	0.000	0.000	0.000	0.000
21.600	0.000	0.000	0.000	0.000
21.700	0.000	0.000	0.000	0.000
21.800	0.000	0.000	0.000	0.000
21.900	0.000	0.000	0.000	0.000
22.000	0.000	0.000	0.000	0.000
22.100	0.000	0.000	0.000	0.000
22.200	0.000	0.000	0.000	0.000
22.300	0.000	0.000	0.000	0.000
22.400	0.000	0.000	0.000	0.000
22.500	0.000	0.000	0.000	0.000
22.600	0.000	0.000	0.000	0.000
22.700	0.000	0.000	0.000	0.000
22.800	0.000	0.000	0.000	0.000
22.900	0.000	0.000	0.000	0.000
23.000	0.000	0.000	0.000	0.000
23.100	0.000	0.000	0.000	0.000
23.200	0.000	0.000	0.000	0.000
23.300	0.000	0.000	0.000	0.000
23.400	0.000	0.000	0.000	0.000
23.500	0.000	0.000	0.000	0.000
23.600	0.000	0.000	0.000	0.000
23.700	0.000	0.000	0.000	0.000
23.800	0.000	0.000	0.000	0.000
23.900	0.000	0.000	0.000	0.000
24.000	0.000	0.000	0.000	0.000
24.100	0.000	0.000	0.000	0.000
24.200	0.000	0.000	0.000	0.000
24.300	0.000	0.000	0.000	0.000
24.400	0.000	0.000	0.000	0.000
24.500	0.000	0.000	0.000	0.000
24.600	0.000	0.000	0.000	0.000
24.700	0.000	0.000	0.000	0.000
24.800	0.000	0.000	0.000	0.000
24.900	0.000	0.000	0.000	0.000
25.000	0.000	0.000	0.000	0.000
25.100	0.000	0.000	0.000	0.000
25.200	0.000	0.000	0.000	0.000
25.300	0.000	0.000	0.000	0.000
25.400	0.000	0.000	0.000	0.000
25.500	0.000	0.000	0.000	0.000
25.600	0.000	0.000	0.000	0.000
25.700	0.000	0.000	0.000	0.000
25.800	0.000	0.000	0.000	0.000
25.900	0.000	0.000	0.000	0.000
26.000	0.000	0.000	0.000	0.000
26.100	0.000	0.000	0.000	0.000
