======================================================
The calculation Signal-to-Noise vs. Magnitude

Resolution Mode   = Moderate Resolution
Airmass           = 1.0
PWV [mm]          = 1.0
Exposure Time [s] = 1200
Exposure Number   = 3
Magnitude Range [mag] : 18.00 - 26.00

Band	 Sky
[Blue]	 20.70
[Green]	 20.70
[Red]	 20.70

========== Plot data ==========
Point Target Magnitude[ABmag]	SNR_Blue	SNR_Green	SNR_Red	SNR_Blue(with grating)	SNR_Red(with grating)	SNR_Red(with grating)
18.000	179.624	166.029	178.579	181.959	167.596	180.888
18.100	170.349	157.408	169.380	172.748	159.015	171.752
18.200	161.463	149.147	160.567	163.923	150.793	163.000
18.300	152.949	141.233	152.122	155.467	142.916	154.614
18.400	144.792	133.651	144.031	147.365	135.368	146.579
18.500	136.978	126.389	136.280	139.602	128.137	138.881
18.600	129.493	119.434	128.856	132.165	121.210	131.505
18.700	122.327	112.775	121.746	125.041	114.575	124.438
18.800	115.466	106.401	114.940	118.217	108.222	117.670
18.900	108.901	100.304	108.426	111.682	102.141	111.188
19.000	102.621	94.473	102.195	105.427	96.322	104.983
19.100	96.617	88.901	96.237	99.440	90.757	99.043
19.200	90.881	83.579	90.543	93.714	85.436	93.361
19.300	85.404	78.499	85.106	88.239	80.354	87.928
19.400	80.179	73.655	79.918	83.008	75.501	82.736
19.500	75.199	69.041	74.971	78.012	70.872	77.777
19.600	70.455	64.648	70.259	73.246	66.460	73.045
19.700	65.943	60.472	65.776	68.703	62.259	68.532
19.800	61.655	56.507	61.514	64.376	58.263	64.233
19.900	57.584	52.745	57.467	60.258	54.466	60.142
20.000	53.726	49.182	53.630	56.346	50.863	56.252
20.100	50.073	45.810	49.996	52.631	47.448	52.559
20.200	46.619	42.626	46.559	49.110	44.215	49.056
20.300	43.358	39.621	43.313	45.775	41.159	45.738
20.400	40.284	36.791	40.252	42.622	38.275	42.600
20.500	37.390	34.129	37.369	39.645	35.556	39.635
20.600	34.670	31.629	34.659	36.837	32.997	36.838
20.700	32.116	29.284	32.113	34.194	30.592	34.204
20.800	29.723	27.088	29.727	31.709	28.335	31.727
20.900	27.484	25.035	27.493	29.377	26.221	29.401
21.000	25.390	23.117	25.404	27.190	24.242	27.219
21.100	23.437	21.329	23.454	25.143	22.393	25.176
21.200	21.617	19.664	21.636	23.230	20.668	23.266
21.300	19.922	18.115	19.944	21.445	19.060	21.483
21.400	18.348	16.677	18.371	19.781	17.565	19.820
21.500	16.886	15.342	16.910	18.232	16.175	18.271
21.600	15.530	14.106	15.555	16.792	14.885	16.831
21.700	14.275	12.961	14.299	15.455	13.688	15.494
21.800	13.113	11.903	13.137	14.215	12.581	14.253
21.900	12.039	10.925	12.063	13.066	11.556	13.104
22.000	11.048	10.023	11.071	12.004	10.609	12.040
22.100	10.133	9.191	10.156	11.021	9.735	11.056
22.200	9.290	8.424	9.312	10.114	8.928	10.148
22.300	8.514	7.718	8.535	9.278	8.185	9.309
22.400	7.800	7.069	7.819	8.506	7.501	8.536
22.500	7.143	6.473	7.161	7.796	6.871	7.824
22.600	6.539	5.924	6.556	7.142	6.292	7.168
22.700	5.984	5.421	6.000	6.540	5.760	6.565
22.800	5.475	4.959	5.490	5.987	5.271	6.011
22.900	5.008	4.535	5.022	5.480	4.822	5.502
23.000	4.579	4.147	4.593	5.014	4.411	5.034
23.100	4.187	3.791	4.199	4.586	4.033	4.605
23.200	3.827	3.464	3.838	4.194	3.687	4.211
23.300	3.497	3.166	3.508	3.834	3.370	3.851
23.400	3.196	2.892	3.205	3.505	3.080	3.520
23.500	2.919	2.642	2.928	3.203	2.814	3.217
23.600	2.667	2.413	2.675	2.927	2.571	2.940
23.700	2.436	2.204	2.443	2.674	2.348	2.686
23.800	2.224	2.013	2.231	2.442	2.145	2.453
23.900	2.031	1.838	2.038	2.231	1.959	2.241
24.000	1.854	1.678	1.860	2.037	1.788	2.047
24.100	1.693	1.532	1.698	1.860	1.633	1.869
24.200	1.545	1.398	1.550	1.698	1.491	1.706
24.300	1.411	1.276	1.415	1.551	1.361	1.558
24.400	1.287	1.165	1.292	1.415	1.242	1.422
24.500	1.175	1.063	1.179	1.292	1.134	1.298
24.600	1.072	0.970	1.076	1.179	1.035	1.185
24.700	0.978	0.885	0.982	1.076	0.944	1.081
24.800	0.893	0.808	0.896	0.982	0.862	0.987
24.900	0.815	0.737	0.817	0.896	0.786	0.901
25.000	0.743	0.672	0.746	0.818	0.717	0.822
25.100	0.678	0.613	0.681	0.746	0.654	0.750
25.200	0.619	0.560	0.621	0.681	0.597	0.684
25.300	0.565	0.511	0.566	0.621	0.545	0.624
25.400	0.515	0.466	0.517	0.567	0.497	0.570
25.500	0.470	0.425	0.471	0.517	0.453	0.520
25.600	0.429	0.388	0.430	0.472	0.414	0.474
25.700	0.391	0.354	0.392	0.430	0.377	0.432
25.800	0.357	0.323	0.358	0.393	0.344	0.394
25.900	0.325	0.294	0.326	0.358	0.314	0.360
26.000	0.297	0.268	0.298	0.327	0.286	0.328
26.100	0.271	0.245	0.272	0.298	0.261	0.299
